Graduation Year;Student;Dissertation;Advisor;Committee Members
1984;David Henry;Multiplicative Models in Projection Pursuit;Friedman;Friedman, Stuetzle, Switzer
1984;Michael Leo Hogan;Problems in Boundary Crossing for Random Walks;Siegmund;Siegmund, Johnstone, Diaconis
1984;Myung-Hoe Huh;Regression Analysis of Multicollinear Data;Olkin;Olkin, Solomon, Switzer
1984;Michael Stein;Estimation of Spatial Variability;Switzer;Switzer, Olkin, Johnstone
1984;Terry Therneau;Variance Reduction Techniques for the Bootstrap;Efron;Efron, Johns, Friedman
1983;Byoung Seon Choi;A Conditional Limit Characterization of the Maximum Entropy Spectral Density in Time Series Analysis;Cover;Anderson, Efron
1983;David Fairley;Statistical Analysis of Ambient Oak Pollen Concentrations: San Francisco Bay Area Case Study;Switzer;Moses, Efron
1983;Jerry Halpern;Robust Quantal Assay, Censored Regression and Maximally Selected Chi-Squared Statistics;Miller;Brown, Efron
1983;Endel John Orav;Discrete Time Alternating Processes and Effects Due to Noise;Miller;Efron, Lewis
1983;Stephen Charles Peters;Bootstrapping a Regression Equation: Some Empirical Results;Efron;Diaconis, Anderson
1983;Thomas Martin Sellke;Large Sample Theory for Sequential Analysis of the Proportional Hazards Model;Siegmund;Miller, Efron
1983;Michael Wenocur;A Production Network Model and Its Diffusion Approximation;Harrison;Fill, Siegmund
1982;Keaven M. Anderson;Moment Expansions for Robust Statistics;Johns;Johns, Fill, Efron
1982;Chen-Hsin Chen;Correlation-Type Goodness-of-Fit Tests for Randomly Censored Data;Miller;Miller, Brown, Solomon
1982;Michael Richard Crager;Exponential Tail Quantile Estimators for Air Quality Data;Switzer;Switzer, Johns, Solomon
1982;Hani Doss;Bayesian nonparametric estimation of location;Diaconis;Diaconis, Siegmund, Johns
1982;Glenn Joseph Galfond;Robust Estimation of Extreme Quantiles;Switzer;Switzer, Solomon, Johns
1982;Gail Gong;Cross-Validation, the Jackknife, and the Bootstrap: Excess Error Estimation in Forward Logistic Regression;Efron;Efron, Moses, Miller
1982;Fred W. Huffer;The Moments and Distributions of Some Quantities Arising from Random Arcs on the Circle;Solomon;Solomon, Efron, Johnstone
1982;Satish Iyengar;On the Evaluation of Certain Multivariate Normal Probabilities;Solomon;Solomon, Miller, Olkin
1982;Anthony Kuk;A Mixing Distribution Approach to Estimating Particle Size Distributions;Solomon;Solomon, Switzer, Efron
1982;John Alan McDonald;Interactive Graphics for Data Analysis;Stuetzle;Stuetzle, Friedman, Golub
1982;Akimichi Takemura;A Statistical Approach to Zonal Polynomials;Anderson;Anderson, Diaconis, Olkin
1982;Joseph S. Verducci;Discriminating Between Two Populations on the Basis of Ranked Preferences;Olkin;Olkin, Diaconis, Solomon
1982;Arif Zaman;An Approximation Theorem for Finite Markov Exchangeability;Diaconis;Diaconis, Shepp, Steele
1981;Michael Lee Cohen;An Adaptive R-Estimate;Johns;Johns, Solomon, Suppes
1981;Edward Ian George;Sequential Stochastic Construction of Random Polygons;Solomon;Solomon, Efron, Steele
1981;Gabrielle E. Kelly;The Influence Function in the Errors in Variables Problem;Miller;Miller, Efron, Diaconis
1981;Steven Paul Lalley;Repeated Likelihood Ratio Tests for Curved Exponential Families;Siegmund;Siegmund, Steele, Efron
1981;Neil Holland Willits;An Approach to Superefficient Estimation;Sager;Sager, Switzer, Cover
1981;Yih-Shyh Yuh;Second Order Corrections for Brownian Motion Approximations;Siegmund;Siegmund, Steele, Fill
1980;Robert Michael Bell;An Adaptive Choice of the Scale Parameter for M-Estimators;Johns;Johns, Switzer, Miller
1980;Naihua Duan;Significance Test for Prior Distributions: The Modified Efficient Score Test and Its Asymptotic Theory;Efron;Efron, Switzer, Stein
1980;Chen-Hui Lin Foo;Probability Modeling and Estimation for Hourly Variation of Air Pollution Concentrations;Switzer;Switzer, Faith, Sager
1980;William D. Heavlin;A Parametric Analysis of Structured and Unstructured $Q$-Sort Data;Solomon;Solomon, Olkin, Johns
1980;Alvaro Munoz;Nonparametric Estimation from Censored Bivariate Observations;Brown;Brown, Miller, Efron
1980;Mahmood Samiei;Tests of Symmetry and Confidence Intervals for Treatment Effects in the Paired Comparison Model;Switzer;Switzer, Johns, Solomon
1980;Suzanna Chor-Yee Wong;Design for Low Dose Extrapolation of Carcinogenicity Data;Moses;Moses, Brown, Switzer
1979;Fereydoon Ahrabi;Maximum Likelihood Estimation of the Autoregressive Coefficients and Moving Average Covariances of Vector Autoregressive Moving Average Models;Anderson;Anderson, Faith, Stein
1979;Andre Francois Cabannes;Estimation of Random Fields from Network Observations;Switzer;Switzer, Olkin, Faith
1979;Delores Ann Conway;Multivariate Distribution with Specified Marginals;Olkin;Olkin, Efron, Lieberman
1979;Marlene Jo-Ann Egger;Power Transformations to Achieve Symmetry in Quantal Bioassay;Brown;Brown, Miller, Efron
1979;Richard Lee Greer;Consistent Nonparametric Estimation of Best Linear Classification Rules/Solving Inconsistent Systems of Linear Inequalities;Diaconis;Diaconis, Cover, Faith
1979;Carol Lynn Link;Confidence Intervals for the Survival Function Using Cox's Proportional Hazard Model with Covariates;Miller;Miller, Brown, Efron
1979;Thomas Patrick McWilliams;Properties of Isotonic Estimators of Mean Lifetime in a Simple Prototype Development Model;Lieberman;Lieberman, Olkin, Singpurwalla
1979;Nancy Margaret Reid;Influence Functions for Censored Data;Miller;Miller, Johns, Efron
1978;Michael Ross Chernick;Verifying Mixing Conditions and Obtaining Limit Theorems for Maxima of Some Strictly Stationary Processes;Faith;Faith, Switzer, Jacobs
1978;Edward Lee Korn;Classification Errors in Contingency Tables Analyzed with Hierarchical Log Linear Models;Switzer;Switzer, Whittemore, Olkin
1978;Sue Ellen Leurgans;Asymptotic Distribution Theory in Generalized Isotonic Regression;Sager;Sager, Siegmund, Miller
1978;William Patrick McCormick;Weak and Strong Laws for the Maxima of Stationary Gaussian Processes;Mittal;Mittal, Siegmund, Switzer
1978;Ali Rejali;On the Asymptotic Expansions for the Moments and the Limiting Distributions of Some Additive Arithmetic Functions;Diaconis;Diaconis, Stein, Siegmund
1978;William Hayward Rogers, III;Some Nonparametric Near-Neighbor Techniques;Cover;Cover, Efron, Olkin
1978;Robert Allen Wesley;Some Contributions to the Theory of Robust Estimation in Regression;Johns;Johns, Miller, Switzer
1978;Robert Allen Wolfe;Testing for the Effect of the Covariance on the Point Process;Brown;Brown, Miller, Efron
1977;Joseph Gerard Deken;On Records: Scheduled Maxima Sequences and Longest Common Subsequences;Resnick;Resnick, Switzer, Diaconis
1977;Beth Charmaine Gladen;Inference from Stopped Bernoulli Trials;Switzer;Switzer, Brown, Sager
