Graduation Year;Student;Dissertation;Advisor;Committee Members
2026;Annette Jing;Topics in Multivariate Time Series Evaluation and Forecasting;Hong (Econ);Lai, Romano, Fox, Taylor
2026;Rex Shen;Statistical Advances in Synthetic Data Generation and Longitudinal Analysis;Tian;Taylor, Efron
2026;Asher Spector;Topics in assumption-lean statistical inference;Candes;Hastie, Lei (GSB)
2025;Zhaomeng Chen;Topics in Selective and Causal Inference;Candes;Hastie, Sabatti
2025;Chen Cheng;Towards Modern Datasets: Laying Mathematical Foundations to Streamline Machine Learning;Duchi/Montanari;Candes
2025;John Cherian;Conditional Guarantees in Model-Free Inference;Candes;Duchi, Hastie
2025;Apratim Dey;Mathematical Statistics in 2025;David Donoho;Johnstone, Montanari
2025;Paula Gablenz;Detecting and Measuring Important Variables:  Novel Methods with Statistical Guarantees;Sabatti;Candes, Hastie, Palacios
2025;Disha Ghandwani;Scalable Statistical Models for Personalized Recommendation: Incorporating Random Slopes and Latent Structure;Hastie;Taylor, Owen
2025;Yujin Jeong;Topics in Causal Inference and Distribution Shifts;Fox;Rothenhaeusler, Johari (MS&E)
2025;Harrison Li;Precise Randomized Experiments Through Design and Estimation;Owen;Rothenhaeusler, Wager
2025;Tim Morrison;Experimental Design Methods for Treatment Effect Estimation Under Constraints;Owen;Rothenhaeusler, Baiocchi
2025;Anav Sood;New Perspectives on Dimensionality Reduction and Selective Inference;Hastie;Taylor, Owen
2025;Jae Hyun (James) Yang;Fast and Scalable Solvers for Penalized Regression with Sparsity;Hastie;Taylor, Rothenhaeusler
2025;Julie Zhang;Coalescent Structures and Their Generalizations;Palacios;Rosenberg (Bio), Sabatti, Walther
2024;Fang Cai;Connecting Frequentist and Bayesian Inference;Efron;Tibshirani, Wong
2024;Kevin Binh Fry;Applications of Data Fission: Spatial Estimation and Model-free Selective Inference;Taylor;Switzer, Tibshirani
2024;Isaac Gibbs;Expanded Coverage Guarantees for Conformal Inference;Candes;Duchi, Schramm
2024;Jayoon Jang;Topics on Finite-sample Valid Inference and the Finite Population Bootstrap;Candes/Walther;Taylor
2024;Ying Jin;Modern Statistical Methodology for Generalizable and Trustworthy Inference;Candes/Rothenhaeusler;Owen
2024;Samir Khan;Methods for Causal Inference with Limited or No Overlap;Ugander (MSE);Owen, Rothenhaeusler
2024;Dan Kluger;Topics in Data Fusion with Applications to Agriculture;Owen/Lobell (Earth System Science);Switzer
2024;Sifan Liu;Advances in Quasi-Monte Carlo;Owen;Palacios, Taylor
2024;Zexin Pan;Super-polynomial Accuracy of Randomized Nets Using the Median-of-means;Owen;Chatterjee, Schramm
2024;Yu Wang;Eigenvalue-based Regressors in High Dimensions;Donoho;Johnstone, Owen
2024;Kangjie Zhou;Computational and Informational Limits in High-dimensional Statistical Problems;Montanari;Candes, Dembo
2023;Michael Feldman;Principal Component Analysis Under Extreme Aspect Ratios;Donoho;Johnstone, Montanari
2023;Kevin Xinkai Guo;Three Essays in Causal Inference;Rothenhaeusler;Owen, Romano
2023;Kevin Han;Estimation and Testing Methods for Causal Inference with Interference;Imbens (Econ) / Ugander (MSE);Owen
2023;Theodor Jakub Misiakiewicz;Learning with Neural Networks in High Dimensions;Montanari;Donoho, Johnstone
2023;Samyak Rajanala;On Some Topics in Statistical Learning: Cluster-Aware Lasso & Others;Tibshirani;Hastie, Palacios
2023;Souvik Ray;Stability of Solutions of Random Optimization Problems Under Small Perturbations;Chatterjee;Dembo, Diaconis
2023;Benjamin Seiler;Applications of Cooperative Game Theory to Interpretable Machine Learning;Owen;Palacios, Taylor
2023;Marius Aurel Tirlea;Permutation-Based Inference in Time Series Analysis;Romano;Duchi, Owen
2023;Han Wu;Causal Inference with Non-standard Experimental Designs;Wager (GSB);Hastie, Siegmund
2023;Yuchen Wu;Information-Theoretic and Computational Perspectives;Montanari;Johnstone, Schramm
2023;Hui Xu;Inference for Prediction Error Beyond the IID Assumption;Tibshirani;Hastie, Owen
2023;Zhen Zhu;Change-point Detection in Mean or Variance or Both;Siegmund;Lai, Linderman
2022;Sohom Bhattacharya;Some applications of graph limits in probability and statistics;Chatterjee;Montanari, Dembo
2022;Sky Cao;Some probabilistic aspects of Yang-Mills;Chatterjee;Diaconis, Dembo
2022;Maxime Cauchois;Confident and reliable statistical predictions in changing environments;Duchi;Candes, Liang (CS)
2022;Zijun Gao;Applications of Machine Learning to Some Statistical Inference Problems;Hastie;Tibshirani, Wager
2022;Swarnadip Ghosh;Scalable Inference for Crossed Random Effects Models;Owen/Hastie;Hastie, Linderman, Athey (GSB)
2022;Suyash Gupta;Reliability and stability in statistical and machine learning problems;Duchi;Candes, Donoho, Rothenhaeusler
2022;Nikolaos Ignatiadis;Nonparametric perspectives on empirical Bayes;Wager (GSB);Candes, Tibshirani
2022;Ismael Lemhadri;A Neural Network with Feature Sparsity;Tibshirani;Duchi, Hastie
2022;Shuangning Li;Causal and Selective Inference in Complex Statistical Models;Candes/Wager (GSB);Hastie
2022;Damian Pavlyshyn;Likelihood ratio testing in critically-spiked Wigner models;Johnstone;Owen, Dembo
2022;Jaime Roquero Gimenez;Topics in multiple hypothesis testing and robustification of estimators through causal inference methods;Zou (BDS);Candes, Owen
2022;Youngtak Sohn;Phase Transitions of Disordered Systems and High Dimensional Inference;Dembo;Chatterjee, Montanari
2022;Elena Tuzhilina;Advances in multivariate statistics and its applications;Hastie;Tibshirani, Segal (UCSF)
2022;Qian Zhao;Applied Statistical Methods for High-Dimensional Generalized Linear Models;Candes;Montanari, Taylor
2022;Chenyang Zhong;Mallows permutation model: Sampling algorithms and probabilistic properties;Diaconis;Dembo, Siegmund
2021;Michael Celentano;Topics in Exact Asymptotics for High-dimensional Regression;Montanari;Candes, Donoho
2021;Nima Hamidi;Minimax Regret Bounds for Stochastic Linear Bandit Algorithms;Bayati (GSB);Lai, Candes
2021;Zhimei Ren;Model-Free Methods for Multiple Testing and Predictive Inference;Candes;Tibshirani, Owen
2021;Michael Benjamin Sklar;Advances in Contextual Multi-armed Bandits, Dynamic Treatment Strategies, and Type 1 Error Rate Guarantees in Confirmatory Adaptive Multi-arm Clinical Trials;Lai;Lavori (BDS), Lu (BDS), Palacios
2021;Jingyi Kenneth Tay;Extending the Reach of the Lasso and Elastic Net Penalties: Methodology and Practice;Tibshirani;Art Owen, Guenther Walther
2020;Mona Azadkia;A Nonparametric Measure of Conditional Dependence;Chatterjee;Taylor, Bayati (GSB)
2020;Stephen Bates;Causal Inference in Genetic Trio Studies;Candes;Tibshirani, Wager
2020;Claire Donnat;Statistics and Uncertainty Quantification in Graphs and Networks with Biomedical Applications;Holmes;Friedman, Leskovec (CS)
2020;Rina Friedberg;Topics in Machine Learning for Causal Inference with Applications in Social Science;Athey (Econ);Owen, Hastie
2020;Jelena Markovic;Statistical methods for adaptive data analysis;Taylor;Tibshirani, Romano
2020;Evan Patterson;The Algebra and Machine Representation of Statistical Models;Candes;Hastie, Chambers, Musen (Med/BDS)
2020;Junyang Qian;Large-scale and High-dimensional Statistical Learning: Methods and Algorithms;Hastie;Tibshirani, Rivas (BDS)
2020;Evan Rosenman;Making Causal Conclusions from Heterogeneous Data Sources;Owen/Baiocchi;Palacios
2020;Matteo Sesia;New Methods for Variable Importance Testing with Applications to Genetic Studies;Candes;Sabatti, Tibshirani
2020;Andy Tsao;Sampling Methods for Perfect Bipartite Matchings;Diaconis;Chatterjee, Charikar (CS)
2020;Jun Yan;Asymptotic Theory for Large Random Matrices and its Applications;Dembo;Chatterjee, Montanari
2019;Rakesh Achanta;Boosting Like Path Algorithms for L1 Regularized Infinite Dimensional Convex Neural Networks;Hastie;Taylor, Tibshirani
2019;Yu Bai;When do gradient methods work well in non-convex learning problems?;Duchi;Montanari, Candes
2019;Nan Bi;Topics in Selective Inference and its Application to Instrumental Variables;Taylor;Tibshirani, Lai
2019;Alex Chin;Modern Statistical Approaches for Randomized Experiments Under Interference;Ugander (MSE);Walther, Palacios
2019;Wenfei Du;Some hierarchical and group regularization methods and applications;Tibshirani;Taylor, Imbens (GSB)
2019;Leying Guan;Classification and testing under robust model assumptions;Tibshirani/Wong;Efron
2019;Eugene Katsevich;Multiple Testing with Structure and Exploration;Sabatti;Candes, Montanari
2019;Keli Liu;A Computationally Conscious Search for Interactions;Tibshirani;Owen, Wager (GSB)
2019;Jing Miao;Health and loan default risk analytics: Prediction models and their evaluation;Lai;Walther, Lu (BDS)
2019;Paulo Orenstein;Topics in Robust Mean Estimation;Diaconis;Chatterjee, Wong
2019;Feng Ruan;Adapting local minimax theory to modern applications;Duchi;Johnstone, Candes
2019;Pragya Sur;A Modern Maximum Likelihood Theory for High-Dimensional Logistic Regression;Candes;Montanari, Johnstone
2019;David Walsh;How to design and analyze online A/B tests within decentralized organizations;Johari (MS&E);Efron, Owen
2019;Jeha Yang;Edgeworth approximations for spiked PCA models and applications;Johnstone;Owen, Donoho
2018;Joseph Arthur;Detection and validation of genomic structural variation from DNA sequencing data;Wong;Owen, Tang
2018;Cyrus DiCiccio;Hypothesis Testing Using Multiple Data Splitting;Romano;Taylor, Tibshirani
2018;Zhou Fan;Eigenvalues in multivariate random effects models;Montanari/Johnstone;Candes
2018;Kelvin Guu;Learning to generate text, programs (and beyond) from weak supervision;Liang (CS);Wong, Mackey, Manning (CS)
2018;Ya Le;Topics in statistical learning with a focus on large-scale data;Hastie;Efron, Taylor
2018;Snigdha Panigrahi;An approximation-based framework for post-selective inference;Taylor;Tibshirani, Sabatti
2018;Kris Sankaran;Discovery and Visualization of Latent Structure with Applications to the Microbiome;Holmes;Switzer, Efron
2017;Edgar Dobriban;Topics in High-Dimensional Asymptotics;Donoho;Owen, Johnstone
2017;Murat A. Erdogdu;Stein's Lemma and Subsampling in Large-Scale Optimization;Montanari/Bayati;Candes
2017;Julia Fukuyama;Multivariate Methods for the Analysis of Structured Data;Holmes;Wong, Relman (Med)
2017;Katelyn Xiang Gao;Scalable Estimation and Inference for Massive Linear Mixed Models with Crossed Random Effects;Owen;Tibshirani, Mackey
2017;Jack Gorham;Measuring Sample Quality with Stein's Method;Mackey/Candes;Owen
2017;Ruojun Huang;Monotone interactions of random walks and graphs;Dembo;Chatterjee, Diaconis
2017;Lucas Janson;A model-free approach to high-dimensional inference;Candes;Mackey, Hastie
2017;Bai Jiang;Two Parameter Inference Methods in Likelihood-free Models: Approximate Bayesian Computation and Contrastive Divergence;Wong;Lai, Diaconis
2017;Jiyao Kou;Large-scale inference with block structure;Walther;Lai, Siegmund
2017;Minyong Lee;Prediction and dimension reduction methods in computer experiments;Owen;Switzer, Taylor
2017;Haben Michael;Evaluating Diagnostics under Dependency;Tian;Holmes, Siegmund
2017;Scott Powers;Leveraging similarity in statistical learning;Tibshirani;Friedman, Hastie
2017;Subhabrata Sen;Optimization, Random Graphs, and Spin Glasses;Dembo/Montanari;Chatterjee
2017;Amir Sepehri;Non-parametric goodness-of-fit testing and applications;Diaconis;Chatterjee, Bump (Math)
2017;Xiaoying Tian;Topics in selective inference;Taylor;Hastie, Tibshirani
2017;Chaojun Wang;Financial Markets and Trading Networks;Duffie (GSB);Krishnamurthy, Jackson, Dembo
2017;Charles Yang Zheng;Supervised Evaluation of Representations;Hastie/Taylor;Efron, Poldrack (Psych)
2016;Kinjal Basu;Quasi-Monte Carlo Methods in Non-Cubical Spaces;Owen;Candes, Chatterjee
2016;Bhaswar Bhattacharya;Power of Graph-Based Two-Sample Tests;Diaconis;Chatterjee, Holmes, Friedman
2016;Yunjin Choi;Selecting the dimension of a subspace in principal component analysis and canonical correlation analysis;Tibshirani;Taylor, Johnstone
2016;Hera He;Efficient Permutation P-value Estimation for Gene Set Tests;Owen;Wong, Hastie
2016;Yuming Kuang;Adaptive Particle Filters in Hidden Markov Models: A New Approach and Its Applications;Lai;Wong, Walther
2016;Linxi Liu;Convergence rates of a class of multivariate density estimators based on adaptive partitioning;Wong;Candes, Siegmund
2016;Joshua Loftus;Post-selection Inference for Models Characterized by Quadratic Constraints;Taylor;Candes, Tibshirani
2016;Leonid Pekelis;False Discoveries with Dependence, Towards an Objective Inference;Efron;Taylor, Owen, Johnstone
2016;Stephen Reid;A general framework for estimation and inference from prototypes of feature clusters;Tibshirani;Hastie, Taylor
2016;Milan Shen;Contributions to Fault Detection and Diagnosis with High-Dimensional Data;Lai;Siegmund, Walther
2016;Weijie Su;Multiple Testing and Minimax Estimation in Sparse Linear Regression;Candes;Siegmund, Johnstone
2016;Stefan Wager;Causal Inference with Random Forests;Efron, Walther;Hastie, Liang
2016;Jingshu Wang;Factor Analysis for High Dimensional Data;Owen;Wong, Walther
2016;Qingyuan Zhao;Topics in Causal and High Dimensional Inference;Hastie;Owen, Tibshirani
2015;Will Fithian;Topics in Adaptive Inference;Hastie;Candes, Taylor, Tibshirani
2015;Sam Gross;A Selective Approach to Internal Inference;Tibshirani;Holmes, Hastie
2015;Jian Li;Two Projects About Change-point Detection;Siegmund;Walther, Lai
2015;Dennis Sun;Valid Inference After Data Snooping;Taylor;Walther, Smith (Music/EE)
2014;Anirban Basak;Probability models on large random graphs and matrices;Dembo;Chatterjee, Montanari
2014;Alexandra Chouldechova;False discovery rate control for spatial data;Candes;Tibshirani, Siegmund
2014;Matan Gavish;Topics in Matrix Inference;Donoho;Johnstone, Coifman (Yale)
2014;Max Grazier G'sell;Inference for correlation-based hierarchical clustering of variables;Tibshirani;Hastie, Taylor
2014;Austen Head;Statistical Methods on Graphs;Holmes;Chatterjee, Diaconis
2014;Sumit Mukherjee;Estimation in exponential families with unknown normalizing constant;Diaconis;Chatterjee, Dembo
2014;Nike Sun;Gibbs measures and phase transitions on locally tree-like graphs;Dembo;Chatterjee, Montanari
2013;Rudy Angeles;Approaches for Local False Discovery Rates;Holmes;Tang, Efron, Walther, Tibshirani
2013;Hao Chen;Two Graph-Based Tests for High-Dimensional Inference;Zhang, Siegmund;Friedman
2013;Pei He;Non-Proportional Hazards in Clinical Trials with Failure-Time Endpoints;Lai;Lavori, Mei-Chiung Shih
2013;Olivia Yueh-Wen Liao;Adaptive Design of Clinical Trials with Interim Selection of Treatment Arms;Lai;Lavori, Mei-Chiung Shih
2013;Michael Lim;The Group-Lasso: Two Novel Applications;Hastie;Taylor, Tibshirani
2013;Yi Liu;Detection of Multiple Change-points: Sequential Testing and Model Selection;Siegmund;Walther, Zhang
2013;Luo Lu;Multivariate Density Estimation by Bayesian Sequential Partitioning and its Applications;Wong;Walther, Hastie, Owen
2013;Gourab Mukherjee;Sparsity and Shrinkage in Predictive Density Estimation;Johnstone;Diaconis, Donoho
2013;Nelson Ray;Topics in Two-Sample Testing;Holmes;Diaconis, Efron, Friedman
2013;Noah Simon;Testing and Estimation of Interactions in High Dimensions;Tibshirani;Efron, Friedman, Olshen
2013;Yong Su;Statistical Methods for Dynamic Panel Data and Their Applications;Lai;Friedman, Olshen, Rajaratnam
2012;Jacob Bien;A Lasso for Hierarchical Interactions;Tibshirani;Hastie, Taylor
2012;Camilo Rivera Guerrero;Detection of bumps on the intensity function of an inhomogeneous Poisson process;Walther;Taylor, Zhang
2012;Juegang Hu;Uncertainty Quantification in High Dimensional Model Selection and Inference for Regression;Rajaratnam;Efron, Johnstone, Romano
2012;Brad Klingenberg;Searching for structured interactions in and between datasets;Taylor;Hastie, Walther
2012;Philip Labo;Yeast and Chemostats, Balls and Urns: Two comments on the dynamics of adaptive evolution;Siegmund;Tang, Zhang
2012;Jun Li;Differential Expression Identification and False Discovery Rate Estimation in RNA-Seq Data;Tibshirani;Hastie, Wong
2012;Rahul Mazumder;Topics in Sparse Multivariate Statistics;Hastie;Friedman, Tibshirani
2012;Jiaqi Shen;Change-Point Models on Point Processes and Applications in Genomics;Zhang;Siegmund, Wong
2012;Shilin Zhu;Probabilistic and Statistical Modeling of Fixed Income Assets;Lai;Dembo, Giesecke
2011;Murat Ahmed;Topics in unsupervised learning: feature selection and multi-modality;Walther;Walther, Tibshirani, Lai
2011;Su Chen;Consistency and convergence rate of Markov Chain Quasi Monte Carlo with Examples;Owen;Owen, Lai, Wong
2011;Yi Fang Chen;Statistical combination of climate models;Switzer;Switzer, Walther, Zhang
2011;Justin Dyer;Visualizing and modeling joint behavior of categorical variables with a large number of levels;Owen;Owen, Walther, Cover
2011;Nicholas Johnson;Efficient models and algorithms for problems in genomics;Wong;Wong, Hua Tang, Tibshirani
2011;Li Ma;Coupling optional Polya trees and the two sample problem;Wong;Wong, Siegmund, Tibshirani
2011;Omkar Muralidharan;A Mixture Model Approach to Empirical Bayes Testing and Estimation;Efron;Efron, Zhang, Tibshirani
2011;Kevin Sun;Dynamic Empirical Bayes Models and Their Applications to Longitudinal Data;Lai;Lai, Zhang, Walther
2011;Yunting Sun;On Latent Systemic Effects in Multiple Hypotheses;Owen, Zhang;Efron, Wong
2011;Ryan Tibshirani;The Solution Path of the Generalized Lasso;Taylor;Taylor, Candes, Hastie
2011;Feng Zhang;Cross-Validation and Regression Analysis in High-Dimensional Sparse Linear Models;Lai;Lai, Rajaratnam, Zhang
2010;Genevera Allen;Transposable Regularized Covariance Models with Applications to High-dimensional Data;Tibshirani;Tibshirani, Owen, Taylor
2010;Ling Chen;Option Pricing and Hedging with Transaction Costs;Lai;Lai, Rajaratnam, Walther
2010;Shaojie Deng;Sequential methods for rare event simulations: theory and applications;Lai;Lai, Siegmund, Kay Giesecke
2010;David Hiller;Alternative Splicing Analysis using RNA-Seq Data;Wong;Wong, Olshen, Owen
2010;Zongming Ma;Contributions to High Dimensional Principal Component Analysis;Johnstone;Johnstone, Diaconis, Tibshirani
2010;Donal McMahon;Research Synthesis for Multiway Tables of Varying Shapes and Size;Hastie;Hastie, Tibshirani, Wong
2010;Chung Kwan Pong;Interest Rate Modeling and a Time Series Model for Functional Data;Lai;Lai, Walther, Switzer
2010;Bo Shen;Probability Forecast: Evaluation and Early Warning;Lai;Lai, Mei-Chiung Shih, Walther
2010;Daniela Witten;A Penalized Matrix Decomposition, and its Applications;Tibshirani;Tibshirani, Rajaratnam, Taylor
2010;Ya Xu;Semi-Supervised Learning on Graphs --- A Statistical Approach;Owen;Owen, Tibshirani, Wong
2009;Sarah Emerson;Small sample performance and calibration of the Empirical Likelihood Method;Owen;Owen, Romano, Walther
2009;Holger Hoefling;Topics in machine learning;Tibshirani;Tibshirani, Hastie, Owen
2009;Yuxue Jin;Regression modelling of competing risks with applications to bone marrow transplantation studies and mortgage prepayment and default analysis;Lai;Lai, Switzer, Shih
2009;Kshitij Khare;Extension of Dynkin's and Diaconis-Evans' constructions of Gaussian fields from Markov processes, etc.;Diaconis, Rajaratnam;Diaconis, Dembo, Holmes
2009;Gen Nowak;Some methods for analyzing high-dimensional genomic data;Tibshirani;Tibshirani, Hastie, Walther
2009;Patrick Perry;Cross-validation for unsupervised learning;Owen;Owen, Johnstone, Taylor
2009;Baiyu Zhou;A method for the analysis of multi-factorial time course microarray data with applications to a clinical burn study;Wong;Wong, Siegmund, Zhang
2008;Jiehua Chen;Regression models with spatially correlated errors: Applications to urban core growth in China;Switzer;Switzer, Siegmund, Rozelle
2008;Zehao Chen;Estimation of high dimension covariance matrix and adaptive portfolio selection;Lai;Lai, Walther, Switzer
2008;Guillaume Horel;Estimating integrated volatility with Markov Chains;Hansen;Hansen, Lai, Romano
2008;Karen Kapur;Modeling background and cross-hybridization effects of microarray probes;Wong;Wong, Tibshirani, Holmes
2008;Yiyuan She;Sparse regression with exact clustering;Owen;Owen, Hastie, Friedman, Walther
2008;Zhen Wei;Greedy functional learning machine in finance;Lai;Lai, Ye, Walther
2008;Hua Zhou;Topics on Markov chains with polynomial eigenfunctions;Diaconis;Diaconis, Siegmund, Coram
2007;George Chang;Tools for multivariate bump hunting;Walther;Walther, Romano, Tibshirani
2007;Andreas Eckner;Two essays on credit default correlation;Duffie;Duffie, Giesecke, Lai
2007;Amy (Sisi) Kapp;Cluster analysis with the in-group proportion;Tibshirani;Tibshirani, Hastie, Stefanie Jeffrey
2007;Ping Li;Stable random projections and conditional random sampling, two sampling techniques for modern massive datasets;Hastie;Hastie, Owen, Tibshirani
2007;Julia Salzman;Spectral analysis with Markov Chains;Diaconis;Diaconis, Holmes, Wong
2007;Seth Tribble;Markov Chain Monte Carlo algorithms using completely uniformly distributed sequences;Owen;Owen, Hastie, Jackman
2007;Brit Turnbull;Empirical null distributions and local false discovery rates;Efron;Efron, Lavori, Hastie
2007;Gillian Ward;"Statistics in ecological modeling; the presence-only problem and other procedures";Hastie;Hastie, Tibshirani, Rogosa
2006;Yaqian Guo;High dimensional classification with application in microarray analysis;Tibshirani;Tibshirani, Hastie, Dill
2006;Jiarui Han;Dynamic portfolio management;Lai;Lai, Primbs, Van Roy
2006;Wei Jin;A Bayesian approach for additive-multiplicative hazard models;Lai;Lai, Switzer, Walther
2006;Jingyang Li;Contributions to Bayesian survival analysis;Lai;Lai, Romano, Walther
2006;Charles Mathis;A statistic for measuring the value of side information in investment;Cover;Cover, Diaconis, Efron
2006;Mee Young Park;Generalized linear models with regularization;Hastie;Hastie, Owen, Tibshirani
2006;Elizabeth Purdom;Multivariate kernel methods in the analysis of graphical structures;Holmes;Holmes, Wong, Owen
2006;Armin Schwartzman;Random ellipsoids and false discovery rates: statistics for diffusion tensor imaging data;Efron;Efron, Hastie, Taylor
2006;Jianxin Shi;Quantitative trait mapping using large pedigrees and model selection;Siegmund;Siegmund, Holmes, Whittemore
2006;Victoria Stodden;Model selection when the number of variables exceeds the number of observations;Donoho;Donoho, Hastie, Tibshirani, Olkin, Efron
2006;Haipeng Xing;Change-point stochastic regression models with applications to econometric time series;Lai;Lai, Siegmund, Walther
2006;Nancy Ruonan Zhang;Change-point models and sequence alignments: Statistical problems of genomics;Siegmund;Siegmund, Dembo, Holmes
2006;Hui Zou;Some perspectives of sparse statistical modeling;Hastie;Hastie, Efron, Tibshirani
2005;Ery Arias-Castro;Graphical Structures for Geometric Detection;Donoho;Donoho, Diaconis, Siegmund
2005;Eric David Bair;Methods for Predicting Patient Survival Based on DNA Microarray Data;Tibshirani;Tibshirani, Hastie, Walther
2005;Sourav Chatterjee;Concentration Inequalities with Exchangeable Pairs;Diaconis;Diaconis, Dembo, Siegmund
2005;Matthew David Finkelman;Statistical Issues in Computerized Adaptive Testing;Rogosa;Rogosa, Lai, Switzer
2005;Giles John Hooker;Diagnostics and Extrapolation in Machine Learning;Friedman;Friedman, Owen, Hastie
2005;Noureddine El Karoui;Extended Validity of Tracy-Widom Limiting Law, With Statistical Applications;Johnstone, Donoho;Johnstone, Donoho, Diaconis
2005;Ruixue Liu;New Findings of Functional ANOVA with Applications to Computational Finance and Statistics;Owen;Owen, Duffie, Efron, Walther
2005;Debashis Paul;Nonparametric Estimation of Principal Components;Johnstone;Johnstone, Olshen, Walther
2005;Jie Peng;Robust Statistics of Variance Component Models to Map Genes in Humans;Siegmund;Siegmund, Owen, Whittemore
2005;Eric Alan Stone;Statistical Advances in Interspecific Data Analysis;Sidow;Sidow, Romano, Tibshirani
2005;Sergiy Terentyev;Asymmetric Counterparty Relations in Default Modeling;Lai;Lai, Dembo, Owen
2005;Pei Wang;Statistical Methods for CGH Array Analysis;Tibshirani;Tibshirani, Hastie, Pollack
2005;Qing-Feng Zhang;A Basis Function Approach to Interest Rate Derivative Valuation;Lai;Lai, Switzer, Walther
2005;Xiaohu Zhang;Thin Blue Noise Sampling and Its Application to Antialiasing in Computer Graphics;Owen;Owen, Walther, Hanrahan
2004;Milena Banjevic;Network Designs in Spatial Statistics;Switzer;Switzer, Hastie, Owen
2004;Geraldine Mary Clarke;Methods and Applications of Estimating Individual Genetic Admixture;Whittemore;Whittemore, Nelson, Siegmund
2004;Tatiana (Tanya) Logvinenko;Sequential Monte Carlo and Dirichlet Mixtures for Extracting Protein Alignment Models;Liu;Liu, Lai, Owen
2004;Bogdan Popescu;Ensemble Learning for Prediction;Friedman;Friedman, Hastie, Tibshirani
2004;Steven Peter Roberts;A Statistical Investigation of Particulate Air Pollution Mortality Time Series Study;Switzer;Switzer, Hastie, Walther
2004;Kwong Hiu Yung;Update Algorithms for Masquerade Detection;Friedman;Friedman, Ullman, Owen
2003;Ilana Belitskaya;Finding Multiple Clustering Structures in Data, with Applications to DNA Microarrays;Tibshirani;Tibshirani, Friedman, Walther
2003;Antje Berndt;Estimating the Term Structure of Credit Spreads: Callable Corporate Debt;Duffie;Duffie, Dembo, Lai
2003;Arnab Chakraborty;An Attempt to Perform Bengali Optical Character Recognition;Diaconis;Diaconis, Hastie, Holmes
2003;Carrie Grimes;Theoretical Methodology for Nonlinear Dimensionality Reduction;Donoho;Donoho, Papanicolaou, Johnstone
2003;Kristofer Jennings;A New Approach to Bias Reduction Using the Iterated Bootstrap;Owen;Owen, Efron, Romano
2003;Tao Jiang;Data Driven Shrinkage Strategies for Quasi-Regression;Owen;Owen, Donoho, Hastie
2003;Jia Shun Jin;Detecting and Estimating Sparse Mixtures;Donoho;Donoho, Johnstone, Siegmund
2003;Johan Lim;Hidden Variable Models and Their Applications;Dembo;Dembo, Gray, Lai
2003;Haiyan Liu;Autoregressive Models with Time-Varying Parameters and Applications to Financial Time Series;Lai;Lai, Switzer, Walther
2003;Regina Nuzzo;Stochastic Models for Lipid Biochemistry;Olshen;Olshen, Johnston, Switzer
2003;Saharon Rosset;Boosting and Other Exact and Approximate Methods for Parametric Regularized Optimization;Friedman/Hastie;Tibshirani
2003;Ji Zhu;Flexible Statistical Modeling;Hastie;Hastie, Efron, Tibshirani
2002;Marc Coram;Nonparametric Bayesian Classification;Diaconis;Diaconis, Efron, Friedman
2002;Jing Huang;Classification with High-Dimensional Predictors and Qualitative Response Application to Genetics;Olshen;Olshen, Efron, Tibshirani
2002;Wenzhi Li;Confidence Intervals Following Group Sequential Trials with Random Group Sizes and Applications to Survival Analysis;Lai;Lai, Siegmund, Walther
2002;Arthur Yu Lu;Sparse Principal Component Analysis for Functional Data;Johnstone;Johnstone, Owen, Walther
2002;Jorge Picazo;Machine Learning Characterization of Decision Boundaries in Multi-Dimensional American Options;Owen;Owen, Friedman, Hastie
2002;Dylan Small;Inference and Model Selection for Instrumental Variables Regression;Lai;Lai, Romano, Siegmund
2002;John Storey;False Discovery Rates Theory and Applications to DNA Microarrays;Tibshirani;Tibshirani, Johnstone, Siegmund
2002;Hua Tang;Statistical Methods for Two Problems in DNA Sequence Comparisons;Siegmund;Efron, Feldman
